"code" ,"title"
"ФН"   ,"Фундаментальные науки"
"РЛ"   ,"Радиоэлектроника и лазерная техника"
"РК"   ,"Робототехника и комплексная автоматизация"
"ИБМ"  ,"Инженерный бизнес и менеджмент"
"ИУ"   ,"Информатика и системы управления"
"СМ"   ,"Специальное машиностроение"
"МТ"   ,"Машиностроительные технологии"
"Э"    ,"Энергомашиностроение"
"Л"    ,"Лингвистика"
"БМТ"  ,"Биомедицинская техника"
"СГН"  ,"Социальные и гуманитарные науки"
"ГУИМЦ","Головной учебно-исследовательский и методический центр"
"ФМОП" ,"Факультет международных образовательных программ"
"ФОФ"  ,"Физкультурно-оздоровительный"
"РКТ"  ,"Ракето-космическая техника"
"АК"   ,"Аэрокосмический"
"ПС"   ,"Приборостроительный"
"РТ"   ,"Радиотехнический"
"ОЭП"  ,"Оптико-электронное приборостроение"
