"group","specCode"
АК1-21,24.05.01_24
АК1-41,24.05.01_24
АК1-61,24.05.01_24
АК1-81,24.05.01_24
АК1-101,24.05.01_24
АК1-121,24.05.01_24
АК2-21,24.05.01_20
АК2-22,24.05.01_20
АК2-41,24.05.01_20
АК2-42,24.05.01_20
АК2-61,24.05.01_20
АК2-81,24.05.01_20
АК2-101,24.05.01_20
АК2-121,24.05.01_20
АК3-21Б,02.03.01_22
АК3-21М,02.04.01_22
АК3-41Б,02.03.01_22
АК3-41М,02.04.01_22
АК3-42М,02.04.01_21
АК3-61Б,02.03.01_22
АК3-81Б,02.03.01_22
АК4-21,24.05.06_22
АК4-41,24.05.06_22
АК4-61,24.05.06_22
АК4-62,24.05.06_22
АК4-81,24.05.06_22
АК4-82,24.05.06_22
АК4-101,24.05.06_22
АК4-102,24.05.06_22
АК4-121,24.05.06_22
БМТ1-21Б,12.03.04_01
БМТ1-22Б,12.03.04_01
БМТ1-21М,12.04.04_01
БМТ1-22М,12.04.04_02
БМТ1-21А,12.06.01_08
БМТ1-41Б,12.03.04_01
БМТ1-42Б,12.03.04_01
БМТ1-41М,12.04.04_01
БМТ1-42М,12.04.04_02
БМТ1-41А,12.06.01_08
БМТ1-61Б,12.03.04_01
БМТ1-62Б,12.03.04_01
БМТ1-61А,12.06.01_08
БМТ1-81Б,12.03.04_01
БМТ1-82Б,12.03.04_01
БМТ1-81А,12.06.01_08
БМТ2-21Б,12.03.04_02
БМТ2-22Б,12.03.04_02
БМТ2-23Б,12.03.04_02
БМТ2-21М,12.04.04_03
БМТ2-22М,12.04.04_03
БМТ2-21А,12.06.01_09
БМТ2-22А,12.06.01_59
БМТ2-41Б,12.03.04_02
БМТ2-42Б,12.03.04_02
БМТ2-43Б,12.03.04_02
БМТ2-41М,12.04.04_03
БМТ2-42М,12.04.04_03
БМТ2-61Б,12.03.04_02
БМТ2-62Б,12.03.04_02
БМТ2-63Б,12.03.04_02
БМТ2-61А,12.06.01_09
БМТ2-81Б,12.03.04_02
БМТ2-82Б,12.03.04_02
БМТ2-83Б,12.03.04_02
БМТ2-81А,12.06.01_09
БМТ4-21М,12.04.04_04
БМТ4-41М,12.04.04_04
БМТ4-61А,12.06.01_10
БМТ4-81А,12.06.01_10
ИБМ1-22Б,38.03.01_01
ИБМ1-21М,38.04.02_01
ИБМ1-21А,38.06.01_08
ИБМ1-22А,38.06.01_58
ИБМ1-41Б,38.03.02_01
ИБМ1-42Б,38.03.01_01
ИБМ1-41М,38.04.02_01
ИБМ1-42А,38.06.01_58
ИБМ1-61Б,38.03.02_01
ИБМ1-62Б,38.03.01_01
ИБМ1-61А,38.06.01_58
ИБМ1-81Б,38.03.02_01
ИБМ1-82Б,38.03.01_01
ИБМ1-82А,38.06.01_58
ИБМ2-21Б,27.03.05_02
ИБМ2-22Б,27.03.05_02
ИБМ2-21М,27.04.06_02
ИБМ2-22М,24.04.01_05
ИБМ2-21А,25.06.01_02
ИБМ2-22А,27.06.01_02
ИБМ2-23А,38.06.01_66
ИБМ2-41Б,27.03.05_02
ИБМ2-42Б,27.03.05_02
ИБМ2-41М,27.04.06_02
ИБМ2-41А,27.06.01_02
ИБМ2-61Б,27.03.05_02
