"Код специализации","Наименование специальности"                                                                          ,"Специализация"                                                                                                                               ,"Квалификация"                                               ,"Срок"
"01.03.02_00"      ,"Прикладная математика и информатика"                                                                 ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"01.03.02_01"      ,"Прикладная математика и информатика"                                                                 ,"Анализ, порождение и преобразование программного кода"                                                                                       ,"Бакалавр"                                                   ,"4г."
"01.03.02_31"      ,"Прикладная математика и информатика"                                                                 ,"Прикладная математика"                                                                                                                       ,"Бакалавр"                                                   ,"4г."
"01.03.02_70"      ,"Прикладная математика и информатика"                                                                 ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"01.03.02_71"      ,"Прикладная математика и информатика"                                                                 ,"Анализ, порождение и преобразование программного кода"                                                                                       ,"Бакалавр"                                                   ,"4г."
"01.03.02_79"      ,"Прикладная математика и информатика"                                                                 ,"Анализ, порождение и преобразование программного кода"                                                                                       ,"Бакалавр"                                                   ,"4г."
"01.03.04_00"      ,"Прикладная математика"                                                                               ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"01.03.04_01"      ,"Прикладная математика"                                                                               ,"Математическое моделирование в науке и технике"                                                                                              ,"Бакалавр"                                                   ,"4г."
"01.03.04_02"      ,"Прикладная математика"                                                                               ,"Нелинейные динамические системы и процессы управления"                                                                                       ,"Бакалавр"                                                   ,"4г."
"01.03.04_03"      ,"Прикладная математика"                                                                               ,"Математическое моделирование динамических процессов в технике"                                                                               ,"Бакалавр"                                                   ,"4г."
"01.03.04_70"      ,"Прикладная математика"                                                                               ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"01.03.04_71"      ,"Прикладная математика"                                                                               ,"Математическое моделирование в науке и технике"                                                                                              ,"Бакалавр"                                                   ,"4г."
"01.03.04_72"      ,"Прикладная математика"                                                                               ,"Нелинейные динамические системы и процессы управления"                                                                                       ,"Бакалавр"                                                   ,"4г."
"01.03.04_73"      ,"Прикладная математика"                                                                               ,"Математическое моделирование динамических процессов в технике"                                                                               ,"Бакалавр"                                                   ,"4г."
"01.03.04_79"      ,"Прикладная математика"                                                                               ,"Математическое моделирование в науке и технике"                                                                                              ,"Бакалавр"                                                   ,"4г."
"01.03.04_82"      ,"Прикладная математика"                                                                               ,"Нелинейные динамические системы и процессы управления"                                                                                       ,"Бакалавр"                                                   ,"4г."
"01.04.02_31"      ,"Прикладная математика и информатика"                                                                 ,"Математическое моделирование"                                                                                                                ,"Магистр"                                                    ,"2г."
"01.04.04_01"      ,"Прикладная математика"                                                                               ,"Математическое моделирование в механике"                                                                                                     ,"Магистр"                                                    ,"2г."
"01.04.04_02"      ,"Прикладная математика"                                                                               ,"Математическое моделирование технических систем"                                                                                             ,"Магистр"                                                    ,"2г."
"01.04.04_03"      ,"Прикладная математика"                                                                               ,"Нелинейные динамические системы и процессы управления"                                                                                       ,"Магистр"                                                    ,"2г."
"01.04.04_04"      ,"Прикладная математика"                                                                               ,"Математическое и компьютерное моделирование в логистике"                                                                                     ,"Магистр"                                                    ,"2г."
"01.04.04_05"      ,"Прикладная математика"                                                                               ,"Математическое моделирование систем и процессов"                                                                                             ,"Магистр"                                                    ,"2г."
"01.04.04_06"      ,"Прикладная математика"                                                                               ,"Математическое и компьютерное моделирование в бизнес-информатике"                                                                            ,"Магистр"                                                    ,"2г."
"01.04.04_07"      ,"Прикладная математика"                                                                               ,"Технологическое предпринимательство в ИТ"                                                                                                    ,"Магистр"                                                    ,"2г."
"01.04.04_08"      ,"Прикладная математика"                                                                               ,"Компьютерная алгебра, лингвистика и биоинформатика"                                                                                          ,"Магистр"                                                    ,"2г."
"01.04.04_09"      ,"Прикладная математика"                                                                               ,"Компьютерная алгебра, лингвистика и биоинформатика"                                                                                          ,"Магистр"                                                    ,"2г."
"01.04.04_12"      ,"Прикладная математика"                                                                               ,"Математическое и компьютерное моделирование в аэрокосмической технике"                                                                       ,"Магистр"                                                    ,"2г."
"01.04.04_26"      ,"Прикладная математика"                                                                               ,"Математическое и компьютерное моделирование в аэрокосмической технике"                                                                       ,"Магистр"                                                    ,"2г."
"01.04.04_70"      ,"Прикладная математика"                                                                               ,"Математическое моделирование в механике"                                                                                                     ,"Магистр"                                                    ,"2г."
"01.04.04_71"      ,"Прикладная математика"                                                                               ,"Математическое моделирование в механике"                                                                                                     ,"Магистр"                                                    ,"2г."
"01.04.04_72"      ,"Прикладная математика"                                                                               ,"Математическое моделирование технических систем"                                                                                             ,"Магистр"                                                    ,"2г."
"01.04.04_73"      ,"Прикладная математика"                                                                               ,"Нелинейные динамические системы и процессы управления"                                                                                       ,"Магистр"                                                    ,"2г."
"01.04.04_74"      ,"Прикладная математика"                                                                               ,"Математическое и компьютерное моделирование в логистике"                                                                                     ,"Магистр"                                                    ,"2г."
"01.04.04_75"      ,"Прикладная математика"                                                                               ,"Математическое моделирование систем и процессов"                                                                                             ,"Магистр"                                                    ,"2г."
"01.04.04_76"      ,"Прикладная математика"                                                                               ,"Математическое и компьютерное моделирование в бизнес-информатике"                                                                            ,"Магистр"                                                    ,"2г."
"01.04.04_77"      ,"Прикладная математика"                                                                               ,"Технологическое предпринимательство в ИТ"                                                                                                    ,"Магистр"                                                    ,"2г."
"01.06.01_00"      ,"Математика и механика"                                                                               ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"01.06.01_01"      ,"Математика и механика"                                                                               ,"Дифференциальные уравнения, динамические системы и оптимальное управление"                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_02"      ,"Математика и механика"                                                                               ,"Теория вероятностей и математическая статистика"                                                                                             ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_03"      ,"Математика и механика"                                                                               ,"Дискретная математика и математическая кибернетика"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_04"      ,"Математика и механика"                                                                               ,"Теоретическая механика"                                                                                                                      ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_05"      ,"Математика и механика"                                                                               ,"Механика деформируемого твердого тела"                                                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
