subject,department,creditUnits,sumHours,audHours,lectureHours,seminarHours,laboratoryHours,noOfTerm,certificationForm
Информатика,ИУ7,8,288,136,17,51,68,"1, 2",Зчт
Математический анализ,ФН1,7,252,119,51,68,0,"1, 2",Экз
Микроэкономика,ИБМ1,3,108,51,17,34,0,1,Экз
История,СГН1,3,108,51,17,34,0,1,Зчт
Иностранный язык,Л2,12,432,204,0,204,0,1 - 6,РЭкз
Физическая культура и спорт,ФВ,2,72,0,0,0,0,"1, 2",
Линейная алгебра и аналитическая геометрия,ФН1,7,252,85,34,51,0,"1, 2",Зчт
Макроэкономика,ИБМ1,4,144,68,34,34,0,2,Экз
Финансы,ИБМ5,3,108,51,34,17,0,2,РЭкз
Информационные технологии в экономике,ИБМ5,4,144,68,0,0,68,"3, 4",Зчт
Основы теории вероятностей и математической статистики,ФН1,4,144,68,34,34,0,3,Экз
Эконометрика,ИБМ2,2,72,34,17,17,0,3,Зчт
Менеджмент,ИБМ4,3,108,51,17,34,0,3,Экз
Бухгалтерский учёт и анализ,ИБМ5,7,252,85,34,34,17,"3, 4",Зчт КуР
Правоведение,ЮР,3,108,51,34,17,0,3,Зчт
Корпоративные финансы,ИБМ5,3,108,51,17,34,0,4,Экз
Маркетинг,ИБМ3,3,108,51,17,34,0,4,Экз
Безопасность жизнедеятельности,Э9,3,108,51,17,17,17,5,Зчт
Управление рисками,ИБМ5,3,108,51,34,17,0,5,РЭкз
Аудит,ИБМ5,3,108,51,17,34,0,6,Экз
Финансовые институты и рынки,ИБМ5,3,108,51,17,34,0,6,Зчт
Статистика,ИБМ2,2,72,34,17,0,17,7,Зчт
Теория отраслевых рынков,ИБМ5,2,72,34,17,17,0,7,Зчт
Управление инвестициями,ИБМ5,3,108,51,34,17,0,7,Экз
Философия,СГН4,3,108,51,17,34,0,7,Зчт
Мировая экономика и международные экономические отношения,ИБМ5,2,72,24,12,12,0,8,Зчт
Инженерная графика,РК1,4,144,68,0,51,17,"1, 2",ДЗчт
"Деньги, кредит, банки",ИБМ5,4,144,34,17,17,0,"1, 2",КуР
Введение в профессию,ИБМ5,1,36,17,17,0,0,1,Зчт
