subject,department,creditUnits,sumHours,audHours,lectureHours,seminarHours,laboratoryHours,noOfTerm,certificationForm
"Математический анализ","ФН12",18,648,408,204,204,0,"1 - 3","Экз"
"Иностранный язык","Л2",12,432,204,0,204,0,"1 - 6","РЭкз"
"Основы информатики","ИУ9",6,216,68,34,0,34,1,"Экз"
"Физическая культура и спорт","ФВ",2,72,0,0,0,0,1,"Зчт"
"Линейная алгебра и аналитическая геометрия","ФН12",12,432,272,136,136,0,"1, 2","Экз"
"Дискретная математика","ИУ9",6,216,51,0,51,0,2,"ДЗчт"
"Языки и методы программирования","ИУ9",7,252,68,34,0,34,2,"Экз"
"История","СГН1",3,108,51,17,34,0,2,"Зчт"
"Обыкновенные дифференциальные уравнения","ИУ9",8,288,136,68,68,0,"3, 4","Экз"
"Операционные системы","ИУ9",3,108,68,34,0,34,4,"Зчт"
"Комплексный анализ","ФН12",4,144,68,34,34,0,4,"Экз"
"Функциональный анализ","ИУ9",3,108,68,34,34,0,5,"ДЗчт"
"Базы данных","ИУ9",7,252,102,34,0,68,"5, 6","КуР"
"Численные методы","ИУ9",3,108,68,34,0,34,6,"Зчт"
"Философия","СГН4",3,108,51,17,34,0,6,"Зчт"
"Физика","ИУ9",3,108,68,34,34,0,7,"Экз"
"Экономика часть 1","ИБМ3",3,108,51,34,17,0,7,"Зчт"
"Теория вероятностей и математическая статистика","ФН12",4,144,68,34,34,0,7,"РЭкз"
"Безопасность жизнедеятельности","Э9",4,144,68,34,17,17,7,"Зчт"
"Методы оптимизации","ИУ9",7,252,144,72,0,72,8,"Зчт"
"Экономика часть 2","ИБМ6",2,72,24,24,0,0,8,"Зчт"
"Алгоритмы и структуры данных","ИУ9",5,180,51,0,51,0,1,"ДЗчт"
"Социология","СГН2",3,108,51,17,34,0,1,"Зчт"
"Компьютерные сети","ИУ9",4,144,68,34,0,34,3,"Экз"
"Алгебра","ИУ9",6,216,102,68,34,0,"3, 4","Экз"
"Низкоуровневое программирование","ИУ9",5,180,68,34,0,34,3,"Экз"
"Правоведение","ЮР",3,108,51,34,17,0,3,"Зчт"
"Алгоритмы компьютерной графики","ИУ9",4,144,68,34,0,34,4,"ДЗчт"
"Дополнительные главы математического анализа","ФН12",4,144,68,34,34,0,4,"Зчт"
"Политология","СГН3",3,108,51,17,34,0,4,"Зчт"
"Разработка параллельных и распределенных программ","ИУ9",3,108,68,34,0,34,5,"Зчт"
"Теория формальных языков","ИУ9",4,144,68,34,0,34,5,"Экз"
"Логика и теория алгоритмов","ФН12",3,108,68,51,17,0,5,"Зчт"
"Дифференциальные уравнения в частных производных","ФН12",4,144,85,51,34,0,6,"Экз"
"Генерация оптимального кода","ИУ9",3,108,68,34,0,34,6,"Зчт"
"Конструирование компиляторов","ИУ9",5,180,102,34,0,68,6,"Экз"
"Моделирование","ИУ9",7,252,144,72,0,72,8,"Экз"
"Дисциплина по выбору №1",,0,328,0,0,0,0,"1 - 6","Зчт"
"Элективный курс по физической культуре и спорту","ФВ",,,,,,,,
"Дисциплина по выбору №3",,2,72,0,0,0,0,5,"КуР"
"Алгоритмы компьютерной графики. Курсовая работа","ИУ9",,,,,,,,
"Операционные системы. Курсовая работа","ИУ9",,,,,,,,
"Дисциплина по выбору №2",,4,144,68,34,34,0,5,"Зчт"
"Основы теории Галуа","ИУ9",,,,,,,,
"Теория игр и исследование операций","ИУ9",,,,,,,,
"Дисциплина по выбору №5",,3,108,34,17,17,0,6,"Зчт"
"Основы теории колец","ИУ9",,,,,,,,
"Современные вычислительные методы","ИУ9",,,,,,,,
"Дисциплина по выбору №4",,3,108,34,0,17,17,6,"Зчт"
"Промышленное программирование на функциональных языках","ИУ9",,,,,,,,
"Объектно-функциональное программирование","ИУ9",,,,,,,,
"Дисциплина по выбору №9",,2,72,34,0,34,0,7,"Зчт"
"Начальный курс немецкого языка","Л4",,,,,,,,
"Начальный курс французского (сербского, испанского) языка","Л4",,,,,,,,
"Дисциплина по выбору №10",,4,144,68,34,0,34,7,"Экз"
"Разработка мобильных приложений","ИУ9",,,,,,,,
"Защита информации от вредоносного программного обеспечения","ИУ9",,,,,,,,
"Дисциплина по выбору №6",,2,72,0,0,0,0,7,"КуР"
"Конструирование компиляторов. Курсовая работа","ИУ9",,,,,,,,
"Численные методы. Курсовая работа","ИУ9",,,,,,,,
"Дисциплина по выбору №7",,4,144,68,34,0,34,7,"Экз"
"Защита информации","ИУ9",,,,,,,,
"Численные методы линейной алгебры","ИУ9",,,,,,,,
"Дисциплина по выбору №8",,3,108,51,17,0,34,7,"Зчт"
"Высокопроизводительные вычисления","ИУ9",,,,,,,,
"Алгоритмы биоинформатики","ИУ9",,,,,,,,
"Дисциплина по выбору №11",,3,108,24,0,24,0,8,"Зчт"
"Базовый курс французского языка","Л4",,,,,,,,
"Базовый курс немецкого языка","Л4",,,,,,,,
