Шифр,"Наименование циклов, разделов, дисциплин",Кафедра,"Лек., час","Сем., час","Лаб., час",Номер семестра,Форма аттестации
1,Основы информатики,ИУ9,34,0,34,1,Экз
2,Иностранный язык,Л2,0,204,0,1 - 6,РЭкз
3,Математический анализ,ФН12,204,204,0,1 - 3,Экз
4,Физическая культура и спорт,ФВ,0,68,0,1,
5,Линейная алгебра и аналитическая геометрия,ФН12,136,136,0,"1, 2",Экз
6,Дискретная математика,ИУ9,51,0,0,2,ДЗчт
7,Языки и методы программирования,ИУ9,34,0,34,2,Экз
8,История,СГН1,17,34,0,2,Зчт
9,Правоведение,ЮР,34,17,0,3,Зчт
10,Обыкновенные дифференциальные уравнения,ИУ9,68,68,0,"3, 4",Экз
11,Комплексный анализ,ФН12,34,34,0,4,Экз
12,Операционные системы,ИУ9,34,0,34,4,Зчт
13,Базы данных,ИУ9,34,0,68,"5, 6",КуР
14,Функциональный анализ,ИУ9,34,34,0,5,РЭкз
15,Философия,СГН4,17,34,0,6,Зчт
16,Численные методы,ИУ9,34,0,34,6,Зчт
17,Теория вероятностей и математическая статистика,ФН12,34,34,0,7,РЭкз
18,Физика,ИУ9,34,34,0,7,Экз
19,Экономика часть 1,ИБМ3,34,17,0,7,Зчт
20,Безопасность жизнедеятельности,Э9,34,17,17,7,Зчт
21,Экономика часть 2,ИБМ6,24,0,0,8,Зчт
22,Методы оптимизации,ИУ9,72,0,72,8,Зчт
23,Алгоритмы и структуры данных,ИУ9,51,0,0,1,ДЗчт
24,Социология,СГН2,17,34,0,1,Зчт
25,Компьютерные сети,ИУ9,34,0,34,3,Экз
26,Алгебра,ИУ9,68,34,0,"3, 4",Экз
27,Низкоуровневое программирование,ИУ9,34,0,34,3,Экз
28,Дополнительные главы математического анализа,ФН12,34,34,0,4,Зчт
29,Политология,СГН3,17,34,0,4,Зчт
30,Алгоритмы компьютерной графики,ИУ9,34,0,34,4,РЭкз
31,Теория формальных языков,ИУ9,34,0,34,5,Экз
32,Разработка параллельных и распределенных программ,ИУ9,34,0,34,5,Зчт
33,Логика и теория алгоритмов,ФН12,51,17,0,5,Зчт
34,Генерация оптимального кода,ИУ9,34,0,34,6,Зчт
35,Конструирование компиляторов,ИУ9,34,0,68,6,Экз
36,Дифференциальные уравнения в частных производных,ФН12,51,34,0,6,Экз
37,Моделирование,ИУ9,72,0,72,8,Экз
38,Дисциплина по выбору №1,,0,408,0,1 - 6,Зчт
,Элективный курс по физической культуре и спорту,ФВ,,,,,
39,Дисциплина по выбору №3,,0,0,0,5,КуР
,Алгоритмы компьютерной графики. Курсовая работа,ИУ9,,,,,
,Операционные системы. Курсовая работа,ИУ9,,,,,
40,Дисциплина по выбору №2,,34,34,0,5,Зчт
,Основы теории Галуа,ИУ9,,,,,
,Теория игр и исследование операций,ИУ9,,,,,
41,Дисциплина по выбору №4,,0,17,17,6,Зчт
,Промышленное программирование на функциональных языках,ИУ9,,,,,
,Объектно-функциональное программирование,ИУ9,,,,,
42,Дисциплина по выбору №5,,17,17,0,6,Зчт
,Основы теории колец,ИУ9,,,,,
,Современные вычислительные методы,ИУ9,,,,,
43,Дисциплина по выбору №6,,0,0,0,7,КуР
,Конструирование компиляторов. Курсовая работа,ИУ9,,,,,
,Численные методы. Курсовая работа,ИУ9,,,,,
44,Дисциплина по выбору №7,,34,0,34,7,Экз
,Численные методы линейной алгебры,ИУ9,,,,,
,Защита информации,ИУ9,,,,,
45,Дисциплина по выбору №8,,17,0,34,7,Зчт
,Высокопроизводительные вычисления,ИУ9,,,,,
,Алгоритмы биоинформатики,ИУ9,,,,,
46,Дисциплина по выбору №10,,34,0,34,7,Экз
,Защита информации от вредоносного программного обеспечения,ИУ9,,,,,
,Разработка мобильных приложений,ИУ9,,,,,
47,Дисциплина по выбору №9,,0,34,0,7,Зчт
,"Начальный курс французского (сербского, испанского) языка",Л4,,,,,
,Начальный курс немецкого языка,Л4,,,,,
48,Дисциплина по выбору №11,,0,24,0,8,Зчт
,Базовый курс немецкого языка,Л4,,,,,
,Базовый курс французского языка,Л4,,,,,
,,,,,,,
