"Шифр","Наименование циклов, разделов, дисциплин","Кафедра","Ауд., час","Лек., час","Сем., час","Лаб., час","Номер семестра","Форма аттестации"
1,"Основы информатики","ИУ9",68,34,0,34,1,"Экз"
2,"Иностранный язык","Л2",204,0,204,0,"1 - 6","РЭкз"
3,"Математический анализ","ФН12",408,204,204,0,"1 - 3","Экз"
4,"Физическая культура и спорт","ФВ",0,0,68,0,1,
5,"Линейная алгебра и аналитическая геометрия","ФН12",272,136,136,0,"1, 2","Экз"
6,"Дискретная математика","ИУ9",51,51,0,0,2,"ДЗчт"
7,"Языки и методы программирования","ИУ9",68,34,0,34,2,"Экз"
8,"История","СГН1",51,17,34,0,2,"Зчт"
9,"Правоведение","ЮР",51,34,17,0,3,"Зчт"
10,"Обыкновенные дифференциальные уравнения","ИУ9",136,68,68,0,"3, 4","Экз"
11,"Комплексный анализ","ФН12",68,34,34,0,4,"Экз"
12,"Операционные системы","ИУ9",68,34,0,34,4,"Зчт"
13,"Базы данных","ИУ9",102,34,0,68,"5, 6","КуР"
14,"Функциональный анализ","ИУ9",68,34,34,0,5,"РЭкз"
15,"Философия","СГН4",51,17,34,0,6,"Зчт"
16,"Численные методы","ИУ9",68,34,0,34,6,"Зчт"
17,"Теория вероятностей и математическая статистика","ФН12",68,34,34,0,7,"РЭкз"
18,"Физика","ИУ9",68,34,34,0,7,"Экз"
19,"Экономика часть 1","ИБМ3",51,34,17,0,7,"Зчт"
20,"Безопасность жизнедеятельности","Э9",68,34,17,17,7,"Зчт"
21,"Экономика часть 2","ИБМ6",24,24,0,0,8,"Зчт"
22,"Методы оптимизации","ИУ9",144,72,0,72,8,"Зчт"
1,"Алгоритмы и структуры данных","ИУ9",51,51,0,0,1,"ДЗчт"
2,"Социология","СГН2",51,17,34,0,1,"Зчт"
3,"Компьютерные сети","ИУ9",68,34,0,34,3,"Экз"
4,"Алгебра","ИУ9",102,68,34,0,"3, 4","Экз"
5,"Низкоуровневое программирование","ИУ9",68,34,0,34,3,"Экз"
6,"Дополнительные главы математического анализа","ФН12",68,34,34,0,4,"Зчт"
7,"Политология","СГН3",51,17,34,0,4,"Зчт"
8,"Алгоритмы компьютерной графики","ИУ9",68,34,0,34,4,"РЭкз"
9,"Теория формальных языков","ИУ9",68,34,0,34,5,"Экз"
10,"Разработка параллельных и распределенных программ","ИУ9",68,34,0,34,5,"Зчт"
11,"Логика и теория алгоритмов","ФН12",68,51,17,0,5,"Зчт"
12,"Генерация оптимального кода","ИУ9",68,34,0,34,6,"Зчт"
13,"Конструирование компиляторов","ИУ9",102,34,0,68,6,"Экз"
14,"Дифференциальные уравнения в частных производных","ФН12",85,51,34,0,6,"Экз"
15,"Моделирование","ИУ9",144,72,0,72,8,"Экз"
1,"Дисциплина по выбору №1",,0,0,408,0,"1 - 6","Зчт"
,"Элективный курс по физической культуре и спорту","ФВ",,,,,,
2,"Дисциплина по выбору №3",,0,0,0,0,5,"КуР"
,"Алгоритмы компьютерной графики. Курсовая работа","ИУ9",,,,,,
,"Операционные системы. Курсовая работа","ИУ9",,,,,,
3,"Дисциплина по выбору №2",,68,34,34,0,5,"Зчт"
,"Основы теории Галуа","ИУ9",,,,,,
,"Теория игр и исследование операций","ИУ9",,,,,,
4,"Дисциплина по выбору №4",,34,0,17,17,6,"Зчт"
,"Промышленное программирование на функциональных языках","ИУ9",,,,,,
,"Объектно-функциональное программирование","ИУ9",,,,,,
5,"Дисциплина по выбору №5",,34,17,17,0,6,"Зчт"
,"Основы теории колец","ИУ9",,,,,,
,"Современные вычислительные методы","ИУ9",,,,,,
6,"Дисциплина по выбору №6",,0,0,0,0,7,"КуР"
,"Конструирование компиляторов. Курсовая работа","ИУ9",,,,,,
,"Численные методы. Курсовая работа","ИУ9",,,,,,
7,"Дисциплина по выбору №7",,68,34,0,34,7,"Экз"
,"Численные методы линейной алгебры","ИУ9",,,,,,
,"Защита информации","ИУ9",,,,,,
8,"Дисциплина по выбору №8",,51,17,0,34,7,"Зчт"
,"Высокопроизводительные вычисления","ИУ9",,,,,,
,"Алгоритмы биоинформатики","ИУ9",,,,,,
9,"Дисциплина по выбору №10",,68,34,0,34,7,"Экз"
,"Защита информации от вредоносного программного обеспечения","ИУ9",,,,,,
,"Разработка мобильных приложений","ИУ9",,,,,,
10,"Дисциплина по выбору №9",,34,0,34,0,7,"Зчт"
,"Начальный курс французского (сербского, испанского) языка","Л4",,,,,,
,"Начальный курс немецкого языка","Л4",,,,,,
11,"Дисциплина по выбору №11",,24,0,24,0,8,"Зчт"
,"Базовый курс немецкого языка","Л4",,,,,,
,"Базовый курс французского языка","Л4",,,,,,
