"code","title","degree"
"01.03.02","Прикладная математика и информатика"                                               ,"бакалавариат"
"01.03.04","Прикладная математика"                                                             ,"бакалавариат"
"02.03.01","Математика и компьютерные науки"                                                   ,"бакалавариат"
"09.03.01","Информатика и вычислительная техника"                                              ,"бакалавариат"
"09.03.02","Информационные системы и технологии"                                               ,"бакалавариат"
"09.03.03","Прикладная информатика"                                                            ,"бакалавариат"
"09.03.04","Программная инженерия"                                                             ,"бакалавариат"
"11.03.03","Конструирование и технология электронных средств"                                  ,"бакалавариат"
"11.03.04","Электроника и наноэлектроника"                                                     ,"бакалавариат"
"12.03.02","Оптотехника"                                                                       ,"бакалавариат"
"12.03.04","Биотехнические системы и технологии"                                               ,"бакалавариат"
"12.03.05","Лазерная техника и лазерные технологии"                                            ,"бакалавариат"
"13.03.02","Электроэнергетика и электротехника"                                                ,"бакалавариат"
"13.03.03","Энергетическое машиностроение"                                                     ,"бакалавариат"
"14.03.01","Ядерная энергетика и теплофизика"                                                  ,"бакалавариат"
"15.03.01","Машиностроение"                                                                    ,"бакалавариат"
"15.03.02","Технологические машины и оборудование"                                             ,"бакалавариат"
"15.03.03","Прикладная механика"                                                               ,"бакалавариат"
"15.03.04","Автоматизация технологических процессов и производств"                             ,"бакалавариат"
"15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств"         ,"бакалавариат"
"15.03.06","Мехатроника и робототехника"                                                       ,"бакалавариат"
"16.03.01","Техническая физика"                                                                ,"бакалавариат"
"16.03.02","Высокотехнологические плазменные и энергетические установки"                       ,"бакалавариат"
"16.03.03","Холодильная, криогенная техника и системы жизнеобеспечения"                        ,"бакалавариат"
"20.03.01","Техносферная безопасность"                                                         ,"бакалавариат"
"22.03.01","Материаловедение и технологии материалов"                                          ,"бакалавариат"
"23.03.02","Наземные транспортно-технологические комплексы"                                    ,"бакалавариат"
"24.03.01","Ракетные комплексы и космонавтика"                                                 ,"бакалавариат"
"24.03.03","Баллистика и гидроаэродинамика"                                                    ,"бакалавариат"
"27.03.01","Стандартизация и метрология"                                                       ,"бакалавариат"
"27.03.04","Управление в технических системах"                                                 ,"бакалавариат"
"27.03.05","Инноватика"                                                                        ,"бакалавариат"
"28.03.02","Наноинженерия"                                                                     ,"бакалавариат"
"38.03.01","Экономика"                                                                         ,"бакалавариат"
"38.03.02","Менеджмент"                                                                        ,"бакалавариат"
"38.03.05","Бизнес-информатика"                                                                ,"бакалавариат"
"39.03.01","Социология"                                                                        ,"бакалавариат"
"45.03.02","Лингвистика"                                                                       ,"бакалавариат"
"54.03.01","Дизайн"                                                                            ,"бакалавариат"
"01.04.02","Прикладная математика и информатика"                                               ,"магистратура"
